Edge_Source,Edge_Target,Edge_Type,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,pmid,exposure,outcome,direction,significance,effect_measure,value,ci_lower,ci_upper,exposure_umls_name,exposure_umls_id,exposure_tui,exposure_source,outcome_umls_name,outcome_umls_id,outcome_tui,outcome_source,study_design,number_of_participants,original,base_concept,exposure_direction
Antineoplastic And Biologic Therapies,Thrombosis And Thromboembolism,Peer Interaction,87357,87357,87357,87357,27639934,omalizumab,arterial thromboembolic events,not found,negative,HR,1.32,0.91,1.91,omalizumab,C0966225,T116|T121|T129,cohort_kg,Arterial thromboembolism,C3544094,T046,cohort_kg,OS,1,omalizumab,omalizumab,increased
Antineoplastic And Biologic Therapies,Cerebrovascular Disease,Peer Interaction,8896,8896,8896,8896,31707849,evolocumab,major vascular events,decrease,positive,HR,0.85,0.79,0.92,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Cerebrovascular Disease,Peer Interaction,8898,8898,8898,8898,31707849,evolocumab,major vascular events,decrease,positive,HR,0.85,0.79,0.92,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Cerebrovascular Disease,Peer Interaction,10102,10102,10102,10102,31196453,evolocumab,"cardiovascular death, myocardial infarction, or stroke",decrease,positive,HR,0.82,0.71,0.94,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Cerebrovascular Disease,Peer Interaction,10103,10103,10103,10103,31196453,evolocumab,"cardiovascular death, myocardial infarction, or stroke",decrease,positive,HR,0.85,0.77,0.94,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Cerebrovascular Disease,Peer Interaction,10104,10104,10104,10104,31196453,evolocumab,"cardiovascular death, myocardial infarction, or stroke",not found,negative,HR,0.89,0.76,1.05,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Cerebrovascular Disease,Peer Interaction,10636,10636,10636,10636,31707788,alirocumab,ischemic stroke,decrease,positive,HR,0.73,0.57,0.93,alirocumab,C3491162,"T116, T121, T129",api,Ischemic stroke,C0948008,T047,api,RCT,1,alirocumab,alirocumab,increased
Antineoplastic And Biologic Therapies,Cerebrovascular Disease,Peer Interaction,12369,12369,12369,12369,29626068,evolocumab,major vascular events,decrease,positive,HR,0.8,0.71,0.91,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Cerebrovascular Disease,Peer Interaction,12370,12370,12370,12370,29626068,evolocumab,major vascular events,decrease,positive,HR,0.82,0.72,0.93,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Cerebrovascular Disease,Peer Interaction,12371,12371,12371,12371,29626068,evolocumab,major vascular events,decrease,positive,HR,0.79,0.69,0.91,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Cerebrovascular Disease,Peer Interaction,12372,12372,12372,12372,29626068,evolocumab,major vascular events,not found,negative,HR,0.95,0.85,1.05,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Cerebrovascular Disease,Peer Interaction,12373,12373,12373,12373,29626068,evolocumab,major vascular events,not found,negative,HR,0.92,0.84,1.02,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Cerebrovascular Disease,Peer Interaction,12374,12374,12374,12374,29626068,evolocumab,major vascular events,not found,negative,HR,0.93,0.85,1.02,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Cerebrovascular Disease,Peer Interaction,124840,124840,124840,124840,32781110,bevacizumab,acute cerebrovascular disease,not found,negative,HR,1.04,0.78,1.38,bevacizumab,C0796392,T116|T121|T129,cohort_kg,Acute cerebrovascular disease,C0810006,T047,cohort_kg,OS,1,bevacizumab,bevacizumab,increased
Antineoplastic And Biologic Therapies,Health Status And Severity Scoring Systems,Peer Interaction,22536,22536,22536,22536,21536936,omalizumab,asthma symptom score,decrease,positive,not found,-0.26,-0.42,-0.1,omalizumab,C0966225,"T116, T121, T129",api,Symptoms score,C3476546,T033,scispacy,RCT,1,omalizumab,omalizumab,increased
Antineoplastic And Biologic Therapies,Functional Limitation,Peer Interaction,11550,11550,11550,11550,29545067,natalizumab,sustained disability progression,not found,negative,OR,0.86,0.66,1.13,natalizumab,C1172734,"T116, T121, T129",api,Disability,C0231170,T033,scispacy,RCT,1,natalizumab,natalizumab,increased
Antineoplastic And Biologic Therapies,Functional Limitation,Peer Interaction,28521,28521,28521,28521,16510744,natalizumab,sustained progression of disability,decrease,positive,HR,0.58,0.43,0.77,natalizumab,C1172734,"T116, T121, T129",api,Disability,C0231170,T033,scispacy,RCT,1,natalizumab,natalizumab,increased
Antineoplastic And Biologic Therapies,General Clinical Status,Peer Interaction,7043,7043,7043,7043,33472855,tocilizumab,clinical status,not found,negative,OR,1.54,0.66,3.66,tocilizumab,C1609165,"T116, T121, T129",api,Clinical status,C0449440,T201,api,RCT,1,tocilizumab,tocilizumab,increased
Antineoplastic And Biologic Therapies,Falls And Fall Risk,Peer Interaction,17113,17113,17113,17113,26518090,omalizumab,fall asthma exacerbations,decrease,positive,OR,0.48,0.25,0.92,omalizumab,C0966225,"T116, T121, T129",api,Falls,C0085639,T033,scispacy,RCT,1,omalizumab,omalizumab,increased
Antineoplastic And Biologic Therapies,Falls And Fall Risk,Peer Interaction,17114,17114,17114,17114,26518090,omalizumab,fall asthma exacerbations,not found,negative,OR,0.73,0.33,1.64,omalizumab,C0966225,"T116, T121, T129",api,Falls,C0085639,T033,scispacy,RCT,1,omalizumab,omalizumab,increased
Antineoplastic And Biologic Therapies,Falls And Fall Risk,Peer Interaction,17119,17119,17119,17119,26518090,omalizumab,fall asthma exacerbations,decrease,positive,OR,0.12,0.02,0.64,omalizumab,C0966225,"T116, T121, T129",api,Falls,C0085639,T033,scispacy,RCT,1,omalizumab,omalizumab,increased
Antineoplastic And Biologic Therapies,Falls And Fall Risk,Peer Interaction,17120,17120,17120,17120,26518090,omalizumab,fall asthma exacerbations,decrease,positive,OR,0.05,0.002,0.98,omalizumab,C0966225,"T116, T121, T129",api,Falls,C0085639,T033,scispacy,RCT,1,omalizumab,omalizumab,increased
Antineoplastic And Biologic Therapies,Ischemic Stroke And Cardiovascular Events,Peer Interaction,7383,7383,7383,7383,34537830,evolocumab,cerebrovascular events,decrease,positive,HR,0.77,0.65,0.92,evolocumab,C3529352,"T116, T121, T129",api,Transient cerebrovascular events,C0852396,T047,api,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Ischemic Stroke And Cardiovascular Events,Peer Interaction,8896,8896,8896,8896,31707849,evolocumab,major vascular events,decrease,positive,HR,0.85,0.79,0.92,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Ischemic Stroke And Cardiovascular Events,Peer Interaction,8898,8898,8898,8898,31707849,evolocumab,major vascular events,decrease,positive,HR,0.85,0.79,0.92,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Ischemic Stroke And Cardiovascular Events,Peer Interaction,9436,9436,9436,9436,31121022,alirocumab,myocardial infarction,decrease,positive,HR,0.85,0.77,0.95,alirocumab,C3491162,"T116, T121, T129",api,Myocardial Infarction,C0027051,T047,api,RCT,1,alirocumab,alirocumab,increased
Antineoplastic And Biologic Therapies,Ischemic Stroke And Cardiovascular Events,Peer Interaction,10102,10102,10102,10102,31196453,evolocumab,"cardiovascular death, myocardial infarction, or stroke",decrease,positive,HR,0.82,0.71,0.94,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Ischemic Stroke And Cardiovascular Events,Peer Interaction,10103,10103,10103,10103,31196453,evolocumab,"cardiovascular death, myocardial infarction, or stroke",decrease,positive,HR,0.85,0.77,0.94,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Ischemic Stroke And Cardiovascular Events,Peer Interaction,10104,10104,10104,10104,31196453,evolocumab,"cardiovascular death, myocardial infarction, or stroke",not found,negative,HR,0.89,0.76,1.05,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Ischemic Stroke And Cardiovascular Events,Peer Interaction,10636,10636,10636,10636,31707788,alirocumab,ischemic stroke,decrease,positive,HR,0.73,0.57,0.93,alirocumab,C3491162,"T116, T121, T129",api,Ischemic stroke,C0948008,T047,api,RCT,1,alirocumab,alirocumab,increased
Antineoplastic And Biologic Therapies,Ischemic Stroke And Cardiovascular Events,Peer Interaction,12369,12369,12369,12369,29626068,evolocumab,major vascular events,decrease,positive,HR,0.8,0.71,0.91,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Ischemic Stroke And Cardiovascular Events,Peer Interaction,12370,12370,12370,12370,29626068,evolocumab,major vascular events,decrease,positive,HR,0.82,0.72,0.93,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Ischemic Stroke And Cardiovascular Events,Peer Interaction,12371,12371,12371,12371,29626068,evolocumab,major vascular events,decrease,positive,HR,0.79,0.69,0.91,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Ischemic Stroke And Cardiovascular Events,Peer Interaction,12372,12372,12372,12372,29626068,evolocumab,major vascular events,not found,negative,HR,0.95,0.85,1.05,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Ischemic Stroke And Cardiovascular Events,Peer Interaction,12373,12373,12373,12373,29626068,evolocumab,major vascular events,not found,negative,HR,0.92,0.84,1.02,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Ischemic Stroke And Cardiovascular Events,Peer Interaction,12374,12374,12374,12374,29626068,evolocumab,major vascular events,not found,negative,HR,0.93,0.85,1.02,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Ischemic Stroke And Cardiovascular Events,Peer Interaction,17303,17303,17303,17303,25773607,evolocumab,cardiovascular events,decrease,positive,HR,0.47,0.28,0.78,evolocumab,C3529352,"T116, T121, T129",api,Cardiovascular event,C1320716,T033,api,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Ischemic Stroke And Cardiovascular Events,Peer Interaction,31749,31749,31749,31749,12021219,abciximab,myocardial infarction,decrease,positive,RR,0.68,0.53,0.87,abciximab,C0288672,"T116, T121, T129",api,Myocardial Infarction,C0027051,T047,api,RCT,1,abciximab,abciximab,increased
Antineoplastic And Biologic Therapies,Ischemic Stroke And Cardiovascular Events,Peer Interaction,33469,33469,33469,33469,10341274,abciximab,myocardial infarction,decrease,positive,OR,0.23,0.12,0.49,abciximab,C0288672,"T116, T121, T129",api,Myocardial Infarction,C0027051,T047,api,RCT,1,abciximab,abciximab,increased
Antineoplastic And Biologic Therapies,Ischemic Stroke And Cardiovascular Events,Peer Interaction,33726,33726,33726,33726,10636365,abciximab,death or large myocardial infarction,decrease,positive,HR,0.46,0.32,0.67,abciximab,C0288672,"T116, T121, T129",api,Myocardial Infarction,C0027051,T047,scispacy,RCT,1,abciximab,abciximab,increased
Antineoplastic And Biologic Therapies,Ischemic Stroke And Cardiovascular Events,Peer Interaction,34349,34349,34349,34349,9164316,abciximab,myocardial infarction,decrease,positive,RR,0.29,0.1,0.84,abciximab,C0288672,"T116, T121, T129",api,Myocardial Infarction,C0027051,T047,api,RCT,1,abciximab,abciximab,increased
Antineoplastic And Biologic Therapies,Ischemic Stroke And Cardiovascular Events,Peer Interaction,34350,34350,34350,34350,9164316,abciximab,myocardial infarction,decrease,positive,RR,0.47,0.26,0.84,abciximab,C0288672,"T116, T121, T129",api,Myocardial Infarction,C0027051,T047,api,RCT,1,abciximab,abciximab,increased
Antineoplastic And Biologic Therapies,Ischemic Stroke And Cardiovascular Events,Peer Interaction,89133,89133,89133,89133,28245350,tocilizumab,cardiovascular events,not found,negative,HR,0.84,0.56,1.26,tocilizumab,C1609165,T116|T121|T129,cohort_kg,cardiovascular event,C1320716,T033,cohort_kg,OS,1,tocilizumab,tocilizumab,increased
Antineoplastic And Biologic Therapies,Ischemic Stroke And Cardiovascular Events,Peer Interaction,124840,124840,124840,124840,32781110,bevacizumab,acute cerebrovascular disease,not found,negative,HR,1.04,0.78,1.38,bevacizumab,C0796392,T116|T121|T129,cohort_kg,Acute cerebrovascular disease,C0810006,T047,cohort_kg,OS,1,bevacizumab,bevacizumab,increased
Antineoplastic And Biologic Therapies,Hemorrhagic Stroke,Peer Interaction,8896,8896,8896,8896,31707849,evolocumab,major vascular events,decrease,positive,HR,0.85,0.79,0.92,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Hemorrhagic Stroke,Peer Interaction,8898,8898,8898,8898,31707849,evolocumab,major vascular events,decrease,positive,HR,0.85,0.79,0.92,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Hemorrhagic Stroke,Peer Interaction,10102,10102,10102,10102,31196453,evolocumab,"cardiovascular death, myocardial infarction, or stroke",decrease,positive,HR,0.82,0.71,0.94,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Hemorrhagic Stroke,Peer Interaction,10103,10103,10103,10103,31196453,evolocumab,"cardiovascular death, myocardial infarction, or stroke",decrease,positive,HR,0.85,0.77,0.94,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Hemorrhagic Stroke,Peer Interaction,10104,10104,10104,10104,31196453,evolocumab,"cardiovascular death, myocardial infarction, or stroke",not found,negative,HR,0.89,0.76,1.05,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Hemorrhagic Stroke,Peer Interaction,10636,10636,10636,10636,31707788,alirocumab,ischemic stroke,decrease,positive,HR,0.73,0.57,0.93,alirocumab,C3491162,"T116, T121, T129",api,Ischemic stroke,C0948008,T047,api,RCT,1,alirocumab,alirocumab,increased
Antineoplastic And Biologic Therapies,Hemorrhagic Stroke,Peer Interaction,10649,10649,10649,10649,31707788,alirocumab,hemorrhagic stroke,not found,negative,HR,0.83,0.42,1.65,alirocumab,C3491162,"T116, T121, T129",api,Hemorrhagic Stroke,C5234922,T047,api,RCT,1,alirocumab,alirocumab,increased
Antineoplastic And Biologic Therapies,Hemorrhagic Stroke,Peer Interaction,12369,12369,12369,12369,29626068,evolocumab,major vascular events,decrease,positive,HR,0.8,0.71,0.91,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Hemorrhagic Stroke,Peer Interaction,12370,12370,12370,12370,29626068,evolocumab,major vascular events,decrease,positive,HR,0.82,0.72,0.93,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Hemorrhagic Stroke,Peer Interaction,12371,12371,12371,12371,29626068,evolocumab,major vascular events,decrease,positive,HR,0.79,0.69,0.91,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Hemorrhagic Stroke,Peer Interaction,12372,12372,12372,12372,29626068,evolocumab,major vascular events,not found,negative,HR,0.95,0.85,1.05,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Hemorrhagic Stroke,Peer Interaction,12373,12373,12373,12373,29626068,evolocumab,major vascular events,not found,negative,HR,0.92,0.84,1.02,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Hemorrhagic Stroke,Peer Interaction,12374,12374,12374,12374,29626068,evolocumab,major vascular events,not found,negative,HR,0.93,0.85,1.02,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Ischemic Stroke,Peer Interaction,8896,8896,8896,8896,31707849,evolocumab,major vascular events,decrease,positive,HR,0.85,0.79,0.92,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Ischemic Stroke,Peer Interaction,8898,8898,8898,8898,31707849,evolocumab,major vascular events,decrease,positive,HR,0.85,0.79,0.92,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Ischemic Stroke,Peer Interaction,9436,9436,9436,9436,31121022,alirocumab,myocardial infarction,decrease,positive,HR,0.85,0.77,0.95,alirocumab,C3491162,"T116, T121, T129",api,Myocardial Infarction,C0027051,T047,api,RCT,1,alirocumab,alirocumab,increased
Antineoplastic And Biologic Therapies,Ischemic Stroke,Peer Interaction,10102,10102,10102,10102,31196453,evolocumab,"cardiovascular death, myocardial infarction, or stroke",decrease,positive,HR,0.82,0.71,0.94,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Ischemic Stroke,Peer Interaction,10103,10103,10103,10103,31196453,evolocumab,"cardiovascular death, myocardial infarction, or stroke",decrease,positive,HR,0.85,0.77,0.94,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Ischemic Stroke,Peer Interaction,10104,10104,10104,10104,31196453,evolocumab,"cardiovascular death, myocardial infarction, or stroke",not found,negative,HR,0.89,0.76,1.05,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Ischemic Stroke,Peer Interaction,10636,10636,10636,10636,31707788,alirocumab,ischemic stroke,decrease,positive,HR,0.73,0.57,0.93,alirocumab,C3491162,"T116, T121, T129",api,Ischemic stroke,C0948008,T047,api,RCT,1,alirocumab,alirocumab,increased
Antineoplastic And Biologic Therapies,Ischemic Stroke,Peer Interaction,10649,10649,10649,10649,31707788,alirocumab,hemorrhagic stroke,not found,negative,HR,0.83,0.42,1.65,alirocumab,C3491162,"T116, T121, T129",api,Hemorrhagic Stroke,C5234922,T047,api,RCT,1,alirocumab,alirocumab,increased
Antineoplastic And Biologic Therapies,Ischemic Stroke,Peer Interaction,12369,12369,12369,12369,29626068,evolocumab,major vascular events,decrease,positive,HR,0.8,0.71,0.91,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Ischemic Stroke,Peer Interaction,12370,12370,12370,12370,29626068,evolocumab,major vascular events,decrease,positive,HR,0.82,0.72,0.93,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Ischemic Stroke,Peer Interaction,12371,12371,12371,12371,29626068,evolocumab,major vascular events,decrease,positive,HR,0.79,0.69,0.91,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Ischemic Stroke,Peer Interaction,12372,12372,12372,12372,29626068,evolocumab,major vascular events,not found,negative,HR,0.95,0.85,1.05,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Ischemic Stroke,Peer Interaction,12373,12373,12373,12373,29626068,evolocumab,major vascular events,not found,negative,HR,0.92,0.84,1.02,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Ischemic Stroke,Peer Interaction,12374,12374,12374,12374,29626068,evolocumab,major vascular events,not found,negative,HR,0.93,0.85,1.02,evolocumab,C3529352,"T116, T121, T129",api,Cerebrovascular accident,C0038454,T047,scispacy,RCT,1,evolocumab,evolocumab,increased
Antineoplastic And Biologic Therapies,Ischemic Stroke,Peer Interaction,31749,31749,31749,31749,12021219,abciximab,myocardial infarction,decrease,positive,RR,0.68,0.53,0.87,abciximab,C0288672,"T116, T121, T129",api,Myocardial Infarction,C0027051,T047,api,RCT,1,abciximab,abciximab,increased
Antineoplastic And Biologic Therapies,Ischemic Stroke,Peer Interaction,33469,33469,33469,33469,10341274,abciximab,myocardial infarction,decrease,positive,OR,0.23,0.12,0.49,abciximab,C0288672,"T116, T121, T129",api,Myocardial Infarction,C0027051,T047,api,RCT,1,abciximab,abciximab,increased
Antineoplastic And Biologic Therapies,Ischemic Stroke,Peer Interaction,33726,33726,33726,33726,10636365,abciximab,death or large myocardial infarction,decrease,positive,HR,0.46,0.32,0.67,abciximab,C0288672,"T116, T121, T129",api,Myocardial Infarction,C0027051,T047,scispacy,RCT,1,abciximab,abciximab,increased
Antineoplastic And Biologic Therapies,Ischemic Stroke,Peer Interaction,34349,34349,34349,34349,9164316,abciximab,myocardial infarction,decrease,positive,RR,0.29,0.1,0.84,abciximab,C0288672,"T116, T121, T129",api,Myocardial Infarction,C0027051,T047,api,RCT,1,abciximab,abciximab,increased
Antineoplastic And Biologic Therapies,Ischemic Stroke,Peer Interaction,34350,34350,34350,34350,9164316,abciximab,myocardial infarction,decrease,positive,RR,0.47,0.26,0.84,abciximab,C0288672,"T116, T121, T129",api,Myocardial Infarction,C0027051,T047,api,RCT,1,abciximab,abciximab,increased
Antineoplastic And Biologic Therapies,Ischemic Stroke,Peer Interaction,84659,84659,84659,84659,26792814,etanercept,acute myocardial infarction,increase,positive,HR,1.3,1.0,1.8,etanercept,C0717758,T116|T121,cohort_kg,Acute myocardial infarction,C0155626,T047,cohort_kg,OS,1,etanercept,etanercept,increased
Antineoplastic And Biologic Therapies,Ischemic Stroke,Peer Interaction,84660,84660,84660,84660,26792814,infliximab,acute myocardial infarction,increase,positive,HR,1.3,1.0,1.6,infliximab,C0666743,T116|T121|T129,cohort_kg,Acute myocardial infarction,C0155626,T047,cohort_kg,OS,1,infliximab,infliximab,increased
Antineoplastic And Biologic Therapies,Ischemic Stroke,Peer Interaction,124839,124839,124839,124839,32781110,bevacizumab,acute myocardial infarction,not found,negative,HR,0.96,0.74,1.25,bevacizumab,C0796392,T116|T121|T129,cohort_kg,Acute myocardial infarction,C0155626,T047,cohort_kg,OS,1,bevacizumab,bevacizumab,increased
Antineoplastic And Biologic Therapies,Ischemic Stroke,Peer Interaction,124840,124840,124840,124840,32781110,bevacizumab,acute cerebrovascular disease,not found,negative,HR,1.04,0.78,1.38,bevacizumab,C0796392,T116|T121|T129,cohort_kg,Acute cerebrovascular disease,C0810006,T047,cohort_kg,OS,1,bevacizumab,bevacizumab,increased
Antineoplastic And Biologic Therapies,Venous Thromboembolism,Peer Interaction,87357,87357,87357,87357,27639934,omalizumab,arterial thromboembolic events,not found,negative,HR,1.32,0.91,1.91,omalizumab,C0966225,T116|T121|T129,cohort_kg,Arterial thromboembolism,C3544094,T046,cohort_kg,OS,1,omalizumab,omalizumab,increased
Antineoplastic And Biologic Therapies,Viral Infections,Peer Interaction,21926,21926,21926,21926,21949007,tocilizumab,serious infections,increase,positive,RR,6.56,4.3,13.2,tocilizumab,C1609165,"T116, T121, T129",api,No serious viral infections,C5936290,T033,api,RCT,1,tocilizumab,tocilizumab,increased
Antineoplastic And Biologic Therapies,Viral Infections,Peer Interaction,110096,110096,110096,110096,25989609,etanercept,medically significant infections,increase,positive,HR,2.13,1.22,3.74,etanercept,C0717758,T116|T121,cohort_kg,Clinical infection,C0275521,T047,cohort_kg,OS,1,etanercept,etanercept,increased
Antineoplastic And Biologic Therapies,Arterial Structure,Peer Interaction,19470,19470,19470,19470,23870813,ranibizumab,arterial thrombotic event or hospital admission for heart failure,not found,negative,OR,1.69,0.8,3.57,ranibizumab,C1566537,"T116, T121, T129",api,Arteries,C0003842,T023,scispacy,RCT,1,ranibizumab,ranibizumab,increased
Antineoplastic And Biologic Therapies,Arterial Structure,Peer Interaction,30056,30056,30056,30056,15351163,abciximab,"combined incidence of death, recurrent myocardial infarction and target vessel re-vascularisation",not found,negative,RR,0.97,0.7,1.33,abciximab,C0288672,"T116, T121, T129",api,Blood Vessel,C0005847,T023,scispacy,RCT,1,abciximab,abciximab,increased
Antineoplastic And Biologic Therapies,Arterial Structure,Peer Interaction,33620,33620,33620,33620,10423466,abciximab,repeated revascularization of the target vessel,not found,negative,HR,0.82,0.59,1.13,abciximab,C0288672,"T116, T121, T129",api,Blood Vessel,C0005847,T023,scispacy,RCT,1,abciximab,abciximab,increased
Antineoplastic And Biologic Therapies,Arterial Structure,Peer Interaction,33621,33621,33621,33621,10423466,abciximab,repeated revascularization of the target vessel,increase,positive,HR,1.49,1.13,1.97,abciximab,C0288672,"T116, T121, T129",api,Blood Vessel,C0005847,T023,scispacy,RCT,1,abciximab,abciximab,increased
